GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CONGELADOR INDUCOL CH-DPB180 142 LT;;(GCG) dp 96;0,00;7.125,00;-149.625,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CONGELADOR INDUCOL CH-DPB180 142 LT;;(GCG) dp 97;0,00;7.125,00;-156.750,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CONGELADOR INDUCOL CH-DPB180 142 LT;;(GCG) dp 98;0,00;7.125,00;-163.875,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;163.875,00;-163.875,00
Total CONGELADOR INDUCOL CH-DPB180 142 LT ACTIF-118;;;;;;;950.000,00;163.875,00;786.125,00
CONGELADOR INDUCOL CH-DPB-260BL1 ACTIF-073 CONGELADOR INDUCOL;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;1.420.000,00;0,00;1.420.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;1.420.000,00;0,00;1.420.000,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;415.350,00;-415.350,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CONGELADOR INDUCOL CH-DPB-260BL1;;(GCG) dp 96;0,00;10.650,00;-426.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CONGELADOR INDUCOL CH-DPB-260BL1;;(GCG) dp 97;0,00;10.650,00;-436.650,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CONGELADOR INDUCOL CH-DPB-260BL1;;(GCG) dp 98;0,00;10.650,00;-447.300,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;447.300,00;-447.300,00
Total CONGELADOR INDUCOL CH-DPB-260BL1 ACTIF-073 CONGELADOR INDUCOL;;;;;;;1.420.000,00;447.300,00;972.700,00
CONGELADOR INDUFRIAL ICC ACTIF-051CONGELADOR INDUFRIAL;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;1.050.000,00;0,00;1.050.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;1.050.000,00;0,00;1.050.000,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;385.875,00;-385.875,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CONGELADOR INDUFRIAL ICC;;(GCG) dp 96;0,00;7.875,00;-393.750,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CONGELADOR INDUFRIAL ICC;;(GCG) dp 97;0,00;7.875,00;-401.625,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CONGELADOR INDUFRIAL ICC;;(GCG) dp 98;0,00;7.875,00;-409.500,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;409.500,00;-409.500,00
Total CONGELADOR INDUFRIAL ICC ACTIF-051CONGELADOR INDUFRIAL;;;;;;;1.050.000,00;409.500,00;640.500,00
CONGELADOR-ENFRIADOR DUAL PUER TA BATIENTE ACTIF-134;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;1.130.000,00;0,00;1.130.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;1.130.000,00;0,00;1.130.000,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;186.450,00;-186.450,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CONGELADOR-ENFRIADOR DUAL PUER TA BATIENTE;;(GCG) dp 96;0,00;16.950,00;-203.400,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CONGELADOR-ENFRIADOR DUAL PUER TA BATIENTE;;(GCG) dp 97;0,00;16.950,00;-220.350,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CONGELADOR-ENFRIADOR DUAL PUER TA BATIENTE;;(GCG) dp 98;0,00;16.950,00;-237.300,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;237.300,00;-237.300,00
Total CONGELADOR-ENFRIADOR DUAL PUER TA BATIENTE ACTIF-134;;;;;;;1.130.000,00;237.300,00;892.700,00
COSCO CARRETILLA 3 EN 1 ACTIF-079 COSCO CARRETILLA;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;2.999.600,00;0,00;2.999.600,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;2.999.600,00;0,00;2.999.600,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;524.025,00;-524.025,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COSCO CARRETILLA 3 EN 1;;(GCG) dp 96;0,00;24.280,00;-548.305,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COSCO CARRETILLA 3 EN 1;;(GCG) dp 97;0,00;24.280,00;-572.585,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COSCO CARRETILLA 3 EN 1;;(GCG) dp 98;0,00;24.280,00;-596.865,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;596.865,00;-596.865,00
Total COSCO CARRETILLA 3 EN 1 ACTIF-079 COSCO CARRETILLA;;;;;;;2.999.600,00;596.865,00;2.402.735,00
CUARTO MODULAR DE REFRIGERACION ACTIF-160;152005 MAQUINARIA Y EQUIPO;JAM FOODSERVICE SAS;08/01/2026;FC1186 CUARTO MODULAR DE REFRIGERACION BOG;;(GCG) FC 41;59.000.000,00;0,00;59.000.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;59.000.000,00;0,00;59.000.000,00
;159210 MAQUINARIA Y EQUIPO;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CUARTO MODULAR DE REFRIGERACION;;(GCG) dp 96;0,00;442.500,00;-442.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CUARTO MODULAR DE REFRIGERACION;;(GCG) dp 97;0,00;442.500,00;-885.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CUARTO MODULAR DE REFRIGERACION;;(GCG) dp 98;0,00;442.500,00;-1.327.500,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;1.327.500,00;-1.327.500,00
Total CUARTO MODULAR DE REFRIGERACION ACTIF-160;;;;;;;59.000.000,00;1.327.500,00;57.672.500,00
DATALOGGER TZONE DIGITAL TECH ACTIF-124;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;1.076.950,00;0,00;1.076.950,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;1.076.950,00;0,00;1.076.950,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;224.192,00;-224.192,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  DATALOGGER TZONE DIGITAL TECH;;(GCG) dp 96;0,00;17.582,00;-241.774,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  DATALOGGER TZONE DIGITAL TECH;;(GCG) dp 97;0,00;17.582,00;-259.356,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  DATALOGGER TZONE DIGITAL TECH;;(GCG) dp 98;0,00;17.582,00;-276.938,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;276.938,00;-276.938,00
Total DATALOGGER TZONE DIGITAL TECH ACTIF-124;;;;;;;1.076.950,00;276.938,00;800.012,00
DESCANSAPIES 3 ALTURAS HUELLAS X 10 UND ACTIF-151;152410 EQUIPOS;;31/12/2025;SALDO INICIAL;;;929.000,00;0,00;929.000,00
;Total 152410 EQUIPOS;;;;;;929.000,00;0,00;929.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;20.904,00;-20.904,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  DESCANSAPIES 3 ALTURAS HUELLAS X 10 UND;;(GCG) dp 96;0,00;6.968,00;-27.872,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  DESCANSAPIES 3 ALTURAS HUELLAS X 10 UND;;(GCG) dp 97;0,00;6.968,00;-34.840,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  DESCANSAPIES 3 ALTURAS HUELLAS X 10 UND;;(GCG) dp 98;0,00;6.968,00;-41.808,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;41.808,00;-41.808,00
Total DESCANSAPIES 3 ALTURAS HUELLAS X 10 UND ACTIF-151;;;;;;;929.000,00;41.808,00;887.192,00
DISCO DURO 1TB 17DOARK ACTIF-075 DISCO DURO;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;190.000,00;0,00;190.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;190.000,00;0,00;190.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;105.450,00;-105.450,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  DISCO DURO 1TB 17DOARK;;(GCG) dp 96;0,00;2.850,00;-108.300,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  DISCO DURO 1TB 17DOARK;;(GCG) dp 97;0,00;2.850,00;-111.150,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  DISCO DURO 1TB 17DOARK;;(GCG) dp 98;0,00;2.850,00;-114.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;114.000,00;-114.000,00
Total DISCO DURO 1TB 17DOARK ACTIF-075 DISCO DURO;;;;;;;190.000,00;114.000,00;76.000,00
DVR DE 16 CANALES PENTAHIBRIDO ACTIF-033 DVR DE 16 CANALES PENTAHIBRIDO;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;370.000,00;0,00;370.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;370.000,00;0,00;370.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;333.000,00;-333.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;333.000,00;-333.000,00
Total DVR DE 16 CANALES PENTAHIBRIDO ACTIF-033 DVR DE 16 CANALES PENTAHIBRIDO;;;;;;;370.000,00;333.000,00;37.000,00
EQUIPO DE COMPUTO ACER VERITON ACTIF-040 EQUIPO DE COMPUTO ACER VERITON;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;2.120.000,00;0,00;2.120.000,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;2.120.000,00;0,00;2.120.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.685.400,00;-1.685.400,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.685.400,00;-1.685.400,00
Total EQUIPO DE COMPUTO ACER VERITON ACTIF-040 EQUIPO DE COMPUTO ACER VERITON;;;;;;;2.120.000,00;1.685.400,00;434.600,00
EQUIPO DE COMPUTO DELL OPTIPLEX 7050 ACTIF-004;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.685.416,00;0,00;2.685.416,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.685.416,00;0,00;2.685.416,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;2.403.270,00;-2.403.270,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;2.403.270,00;-2.403.270,00
Total EQUIPO DE COMPUTO DELL OPTIPLEX 7050 ACTIF-004;;;;;;;2.685.416,00;2.403.270,00;282.146,00
ESCALERA MULTINFUCIONAL 113 KG ACTIF-122;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;470.000,00;0,00;470.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;470.000,00;0,00;470.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;59.925,00;-59.925,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESCALERA MULTINFUCIONAL 113 KG;;(GCG) dp 96;0,00;3.525,00;-63.450,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESCALERA MULTINFUCIONAL 113 KG;;(GCG) dp 97;0,00;3.525,00;-66.975,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESCALERA MULTINFUCIONAL 113 KG;;(GCG) dp 98;0,00;3.525,00;-70.500,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;70.500,00;-70.500,00
Total ESCALERA MULTINFUCIONAL 113 KG ACTIF-122;;;;;;;470.000,00;70.500,00;399.500,00
ESCALERILLA WENGUE ACTIF-066 ESCALERILLA WENGUE;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;39.999,00;0,00;39.999,00
;Total 152405 MUEBLES Y ENSERES;;;;;;39.999,00;0,00;39.999,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;12.300,00;-12.300,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESCALERILLA WENGUE;;(GCG) dp 96;0,00;300,00;-12.600,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESCALERILLA WENGUE;;(GCG) dp 97;0,00;300,00;-12.900,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESCALERILLA WENGUE;;(GCG) dp 98;0,00;300,00;-13.200,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;13.200,00;-13.200,00
Total ESCALERILLA WENGUE ACTIF-066 ESCALERILLA WENGUE;;;;;;;39.999,00;13.200,00;26.799,00
ESCRITORIO CON ARCHIVADOR ACTIF-105;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;600.000,00;0,00;600.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;600.000,00;0,00;600.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;103.500,00;-103.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESCRITORIO CON ARCHIVADOR;;(GCG) dp 96;0,00;4.500,00;-108.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESCRITORIO CON ARCHIVADOR;;(GCG) dp 97;0,00;4.500,00;-112.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESCRITORIO CON ARCHIVADOR;;(GCG) dp 98;0,00;4.500,00;-117.000,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;117.000,00;-117.000,00
Total ESCRITORIO CON ARCHIVADOR ACTIF-105;;;;;;;600.000,00;117.000,00;483.000,00
ESCRITORIO DELUXE ACTIF-006;152410 EQUIPOS;;31/12/2025;SALDO INICIAL;;;400.000,00;0,00;400.000,00
;Total 152410 EQUIPOS;;;;;;400.000,00;0,00;400.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;360.000,00;-360.000,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;360.000,00;-360.000,00
Total ESCRITORIO DELUXE ACTIF-006;;;;;;;400.000,00;360.000,00;40.000,00
ESCRITORIO ELE ACTIF-005;152410 EQUIPOS;;31/12/2025;SALDO INICIAL;;;390.000,00;0,00;390.000,00
;Total 152410 EQUIPOS;;;;;;390.000,00;0,00;390.000,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;351.000,00;-351.000,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;351.000,00;-351.000,00
Total ESCRITORIO ELE ACTIF-005;;;;;;;390.000,00;351.000,00;39.000,00
ESCRITORIO L COVALT ACTIF-116;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;315.921,00;0,00;315.921,00
;Total 152405 MUEBLES Y ENSERES;;;;;;315.921,00;0,00;315.921,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;49.749,00;-49.749,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESCRITORIO L COVALT;;(GCG) dp 96;0,00;2.369,00;-52.118,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESCRITORIO L COVALT;;(GCG) dp 97;0,00;2.369,00;-54.487,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESCRITORIO L COVALT;;(GCG) dp 98;0,00;2.369,00;-56.856,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;56.856,00;-56.856,00
Total ESCRITORIO L COVALT ACTIF-116;;;;;;;315.921,00;56.856,00;259.065,00
ESCRITORIOS  DE OFICINA ACTIF-038 ESCRITORIOS  DE OFICINA;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;8.299.100,00;0,00;8.299.100,00
;Total 152405 MUEBLES Y ENSERES;;;;;;8.299.100,00;0,00;8.299.100,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;3.374.622,00;-3.374.622,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESCRITORIOS  DE OFICINA;;(GCG) dp 96;0,00;62.493,00;-3.437.115,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESCRITORIOS  DE OFICINA;;(GCG) dp 97;0,00;62.493,00;-3.499.608,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESCRITORIOS  DE OFICINA;;(GCG) dp 98;0,00;62.493,00;-3.562.101,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;3.562.101,00;-3.562.101,00
Total ESCRITORIOS  DE OFICINA ACTIF-038 ESCRITORIOS  DE OFICINA;;;;;;;8.299.100,00;3.562.101,00;4.736.999,00
ESTANTERIA ACTIF-010;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;2.335.640,00;0,00;2.335.640,00
;Total 152405 MUEBLES Y ENSERES;;;;;;2.335.640,00;0,00;2.335.640,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;2.056.040,00;-2.056.040,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;2.056.040,00;-2.056.040,00
Total ESTANTERIA ACTIF-010;;;;;;;2.335.640,00;2.056.040,00;279.600,00
ESTANTERIA CUARTO FRIO ACTIF-166;152405 MUEBLES Y ENSERES;CARDENAS GIL JHON JAIRO;02/03/2026;CC 02 COMPRA ESTANTERIA CUARTO FRIO BOG;;(GCG) FC 11786;12.820.000,00;0,00;12.820.000,00
;Total 152405 MUEBLES Y ENSERES;;;;;;12.820.000,00;0,00;12.820.000,00
;159215 EQUIPO DE OFICINA;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESTANTERIA CUARTO FRIO;;(GCG) dp 98;0,00;96.150,00;-96.150,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;96.150,00;-96.150,00
Total ESTANTERIA CUARTO FRIO ACTIF-166;;;;;;;12.820.000,00;96.150,00;12.723.850,00
ESTANTERIA GONDOLA-GALVANIZADA-VIGA ACTIF-111;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;4.983.958,00;0,00;4.983.958,00
;Total 152405 MUEBLES Y ENSERES;;;;;;4.983.958,00;0,00;4.983.958,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;822.360,00;-822.360,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESTANTERIA GONDOLA-GALVANIZADA-VIGA;;(GCG) dp 96;0,00;37.380,00;-859.740,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESTANTERIA GONDOLA-GALVANIZADA-VIGA;;(GCG) dp 97;0,00;37.380,00;-897.120,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESTANTERIA GONDOLA-GALVANIZADA-VIGA;;(GCG) dp 98;0,00;37.380,00;-934.500,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;934.500,00;-934.500,00
Total ESTANTERIA GONDOLA-GALVANIZADA-VIGA ACTIF-111;;;;;;;4.983.958,00;934.500,00;4.049.458,00
ESTANTERIA METALICA 2.00 *90 * 2.70 CM ACTIF-147;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;10.424.772,00;0,00;10.424.772,00
;Total 152405 MUEBLES Y ENSERES;;;;;;10.424.772,00;0,00;10.424.772,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;427.125,00;-427.125,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESTANTERIA METALICA 2.00 *90 * 2.70 CM;;(GCG) dp 96;0,00;85.425,00;-512.550,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESTANTERIA METALICA 2.00 *90 * 2.70 CM;;(GCG) dp 97;0,00;85.425,00;-597.975,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESTANTERIA METALICA 2.00 *90 * 2.70 CM;;(GCG) dp 98;0,00;85.425,00;-683.400,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;683.400,00;-683.400,00
Total ESTANTERIA METALICA 2.00 *90 * 2.70 CM ACTIF-147;;;;;;;10.424.772,00;683.400,00;9.741.372,00
ESTANTERIA METALICA 2.20 *90-1.20 * 2.20-2.60 CM ACTIF-148;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;2.684.682,00;0,00;2.684.682,00
;Total 152405 MUEBLES Y ENSERES;;;;;;2.684.682,00;0,00;2.684.682,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;106.270,00;-106.270,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESTANTERIA METALICA 2.20 *90-1.20 * 2.20-2.60 CM;;(GCG) dp 96;0,00;21.254,00;-127.524,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESTANTERIA METALICA 2.20 *90-1.20 * 2.20-2.60 CM;;(GCG) dp 97;0,00;21.254,00;-148.778,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESTANTERIA METALICA 2.20 *90-1.20 * 2.20-2.60 CM;;(GCG) dp 98;0,00;21.254,00;-170.032,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;170.032,00;-170.032,00
Total ESTANTERIA METALICA 2.20 *90-1.20 * 2.20-2.60 CM ACTIF-148;;;;;;;2.684.682,00;170.032,00;2.514.650,00
ESTANTERIA METALICA 2.30 * 90 * 2.40 CM ACTIF-145;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;7.133.848,00;0,00;7.133.848,00
;Total 152405 MUEBLES Y ENSERES;;;;;;7.133.848,00;0,00;7.133.848,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;289.815,00;-289.815,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESTANTERIA METALICA 2.30 * 90 * 2.40 CM;;(GCG) dp 96;0,00;57.963,00;-347.778,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  ESTANTERIA METALICA 2.30 * 90 * 2.40 CM;;(GCG) dp 97;0,00;57.963,00;-405.741,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  ESTANTERIA METALICA 2.30 * 90 * 2.40 CM;;(GCG) dp 98;0,00;57.963,00;-463.704,00
;Total 159215 EQUIPO DE OFICINA;;;;;;0,00;463.704,00;-463.704,00
Total ESTANTERIA METALICA 2.30 * 90 * 2.40 CM ACTIF-145;;;;;;;7.133.848,00;463.704,00;6.670.144,00
ESTANTERIA METALICA 2.40 * 120 * 2.80 - 2.00 CM ACTIF-146;152405 MUEBLES Y ENSERES;;31/12/2025;SALDO INICIAL;;;5.691.384,00;0,00;5.691.384,00
;Total 152405 MUEBLES Y ENSERES;;;;;;5.691.384,00;0,00;5.691.384,00
;159215 EQUIPO DE OFICINA;;31/12/2025;SALDO INICIAL;;;0,00;229.235,00;-229.235,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  ESTANTERIA METALICA 2.40 * 120 * 2.80 - 2.00 CM;;(GCG) dp 96;0,00;45.847,00;-275.082,00
